title,artist,album,url,description,release_year,fetch_date
Ñucallajta,Proyección,Ámame (Folklore Andino),https://www.youtube.com/watch?v=SeMeKsRY7WU,,,2026-04-18 23:06:41
Ecuador San Juanito,Ecuador Manta,Alegrando El Alma,https://www.youtube.com/watch?v=IXVUwOqt5XE,,,2026-04-18 23:06:41
Naupa Llacta,Ecuador Causary,Music From The Andes,https://www.youtube.com/watch?v=Y75gLE0ihyA,,,2026-04-18 23:06:41
Ñuca Llacta,Ñanda Mañachi,Folklore Ecuatorianisimo,https://www.youtube.com/watch?v=xRei8rigCOA,,,2026-04-18 23:06:41
Selección de San Juanitos,Proyección,Toda... Una Vida (La Nueva Expresion del Folklore de Bolivia),https://www.youtube.com/watch?v=9nuMFtP71jY,,,2026-04-18 23:06:41
Tabacundeña (Sanjuanito),Fusión Inka,Sueños,https://www.youtube.com/watch?v=1hLCpigJ024,,,2026-04-18 23:06:41
Yana Cuchi,Ecuador Causary,Music From The Andes,https://www.youtube.com/watch?v=C28-TX26Zvk,,,2026-04-18 23:06:41
Rosalia,Kamari Ec,Amores Vienen,https://www.youtube.com/watch?v=8KOpAa_hnG8,,,2026-04-18 23:06:41
Carmelita,Ecuador Causary,Music From The Andes,https://www.youtube.com/watch?v=6493VpdphCE,,,2026-04-18 23:06:41
Mashicuna,Ecuador Causary,Music From The Andes,https://www.youtube.com/watch?v=gQy3yD6N86s,,,2026-04-18 23:06:41
Cuatro Esquinas,Ecuador Manta,Sounds of the Andes,https://www.youtube.com/watch?v=DPS-SIGWyh8,,,2026-04-18 23:06:41
San Juanito Irlandes,Ecuador Manta,Ritmos Raices,https://www.youtube.com/watch?v=sDF0JJf3cpU,,,2026-04-18 23:06:41
Carabuela (Sanjuanito),Los Folkloristas,Ecuador,https://www.youtube.com/watch?v=Iy26_2jwoXY,,,2026-04-18 23:06:41
Taita Wagrita,Runallacta,Cariñito,https://www.youtube.com/watch?v=es0TjZu8wmg,,,2026-04-18 23:06:41
Ñuca Llacta,Ñanda Mañachi,Traditional Music Of The Andes,https://www.youtube.com/watch?v=4aP5F1xawMw,,,2026-04-18 23:06:41
San Juanito,Wayra,South-American Folklore,https://www.youtube.com/watch?v=mB7xIVmQFXM,,,2026-04-18 23:06:41
Ecuador San Juanito,Los Incateños,"Las Mejores Clásicas Andinas para el Mundo, Vol. 90",https://www.youtube.com/watch?v=iVSzp456ee0,,,2026-04-18 23:06:41
