title,artist,album,url,description,release_year,fetch_date,mb_recording_id,mb_work_ids,composer,matched_title,matched_artist,match_score,artist_country
Ecuador San Juanito,Ecuador Manta,Alegrando El Alma,https://www.youtube.com/watch?v=IXVUwOqt5XE,,,2026-04-18 23:06:41,fee978b0-38d7-4d22-8e0a-ddc3ebb061dc,,,Ecuador San Juanito,Ecuador Manta,,
Naupa Llacta,Ecuador Causary,Music From The Andes,https://www.youtube.com/watch?v=Y75gLE0ihyA,,,2026-04-18 23:06:41,e336e726-ee8f-4b8e-8b99-dabf34ba7793,,,Naupa Llacta,Ecuador Causary,,
Ñuca Llacta,Ñanda Mañachi,Folklore Ecuatorianisimo,https://www.youtube.com/watch?v=xRei8rigCOA,,,2026-04-18 23:06:41,d46604a3-4b30-4c40-97ad-823fb094aadb,,,Nuca llacta,Ñanda Mañachi,,
Selección de San Juanitos,Proyección,Toda... Una Vida (La Nueva Expresion del Folklore de Bolivia),https://www.youtube.com/watch?v=9nuMFtP71jY,,,2026-04-18 23:06:41,96ec770d-719c-4b81-9e98-4018894d6ccd,,,Seleccion de San Juanitos,Inkari,,
Tabacundeña (Sanjuanito),Fusión Inka,Sueños,https://www.youtube.com/watch?v=1hLCpigJ024,,,2026-04-18 23:06:41,5b8ede85-ce55-487c-bb3c-0ba81a9a79ee,,,Tabacundeña,Fusion Inka,,
Yana Cuchi,Ecuador Causary,Music From The Andes,https://www.youtube.com/watch?v=C28-TX26Zvk,,,2026-04-18 23:06:41,efd03b18-9b89-4ef6-b9d0-031ee68a1435,,,Yana Cuchi,Ecuador Causary,,
Carmelita,Ecuador Causary,Music From The Andes,https://www.youtube.com/watch?v=6493VpdphCE,,,2026-04-18 23:06:41,6f54fefd-e24a-4376-8e61-5e5f66680620,,,Carmelita,Ecuador Causary,,
Mashicuna,Ecuador Causary,Music From The Andes,https://www.youtube.com/watch?v=gQy3yD6N86s,,,2026-04-18 23:06:41,f5643259-21df-438d-b7c2-be5d49e55783,,,Mashicuna,Ecuador Causary,,
Cuatro Esquinas,Ecuador Manta,Sounds of the Andes,https://www.youtube.com/watch?v=DPS-SIGWyh8,,,2026-04-18 23:06:41,31947e59-db62-4ee2-a085-34c1de5daea3,,,Cuatro Esquinas,Ecuador Manta,,
San Juanito Irlandes,Ecuador Manta,Ritmos Raices,https://www.youtube.com/watch?v=sDF0JJf3cpU,,,2026-04-18 23:06:41,1286fb77-0fbc-4a7d-bb3f-a8e11e71da37,,,Ecuador's San Juanito,Ecuador Manta,,
