title,artist,album,url,description,release_year,fetch_date,mb_recording_id,mb_work_ids,composer,matched_title,matched_artist,match_score,artist_country
Ñucallajta,Proyección,Ámame (Folklore Andino),https://www.youtube.com/watch?v=SeMeKsRY7WU,,,2026-04-18 23:06:41,ba7069d7-28d9-4ad7-b2aa-433bb5757bed,,,Nucallajta,Sukay,,XW
Ecuador San Juanito,Ecuador Manta,Alegrando El Alma,https://www.youtube.com/watch?v=IXVUwOqt5XE,,,2026-04-18 23:06:41,fee978b0-38d7-4d22-8e0a-ddc3ebb061dc,,,Ecuador San Juanito,Ecuador Manta,,
Naupa Llacta,Ecuador Causary,Music From The Andes,https://www.youtube.com/watch?v=Y75gLE0ihyA,,,2026-04-18 23:06:41,e336e726-ee8f-4b8e-8b99-dabf34ba7793,,,Naupa Llacta,Ecuador Causary,,
Ñuca Llacta,Ñanda Mañachi,Folklore Ecuatorianisimo,https://www.youtube.com/watch?v=xRei8rigCOA,,,2026-04-18 23:06:41,d46604a3-4b30-4c40-97ad-823fb094aadb,,,Nuca llacta,Ñanda Mañachi,,
Selección de San Juanitos,Proyección,Toda... Una Vida (La Nueva Expresion del Folklore de Bolivia),https://www.youtube.com/watch?v=9nuMFtP71jY,,,2026-04-18 23:06:41,96ec770d-719c-4b81-9e98-4018894d6ccd,,,Seleccion de San Juanitos,Inkari,,
Tabacundeña (Sanjuanito),Fusión Inka,Sueños,https://www.youtube.com/watch?v=1hLCpigJ024,,,2026-04-18 23:06:41,5b8ede85-ce55-487c-bb3c-0ba81a9a79ee,,,Tabacundeña,Fusion Inka,,
Yana Cuchi,Ecuador Causary,Music From The Andes,https://www.youtube.com/watch?v=C28-TX26Zvk,,,2026-04-18 23:06:41,efd03b18-9b89-4ef6-b9d0-031ee68a1435,,,Yana Cuchi,Ecuador Causary,,
Rosalia,Kamari Ec,Amores Vienen,https://www.youtube.com/watch?v=8KOpAa_hnG8,,,2026-04-18 23:06:41,8d77abc1-71b5-472e-848e-3704aab7a46a,,,Rosalía,Reynaldo Armas,,VE
Carmelita,Ecuador Causary,Music From The Andes,https://www.youtube.com/watch?v=6493VpdphCE,,,2026-04-18 23:06:41,6f54fefd-e24a-4376-8e61-5e5f66680620,,,Carmelita,Ecuador Causary,,
Mashicuna,Ecuador Causary,Music From The Andes,https://www.youtube.com/watch?v=gQy3yD6N86s,,,2026-04-18 23:06:41,f5643259-21df-438d-b7c2-be5d49e55783,,,Mashicuna,Ecuador Causary,,
Cuatro Esquinas,Ecuador Manta,Sounds of the Andes,https://www.youtube.com/watch?v=DPS-SIGWyh8,,,2026-04-18 23:06:41,31947e59-db62-4ee2-a085-34c1de5daea3,,,Cuatro Esquinas,Ecuador Manta,,
San Juanito Irlandes,Ecuador Manta,Ritmos Raices,https://www.youtube.com/watch?v=sDF0JJf3cpU,,,2026-04-18 23:06:41,1286fb77-0fbc-4a7d-bb3f-a8e11e71da37,,,Ecuador's San Juanito,Ecuador Manta,,
Carabuela (Sanjuanito),Los Folkloristas,Ecuador,https://www.youtube.com/watch?v=Iy26_2jwoXY,,,2026-04-18 23:06:41,59199512-5ed3-458c-bf1b-0ed64015582c,,,"Carabuela (sanjuanito, Ecuador)",Los Folkloristas,,MX
Taita Wagrita,Runallacta,Cariñito,https://www.youtube.com/watch?v=es0TjZu8wmg,,,2026-04-18 23:06:41,ad5af21e-c827-4406-b98c-440ac21dadca,,,Taïta,Anghjula Potentini,,FR
Ñuca Llacta,Ñanda Mañachi,Traditional Music Of The Andes,https://www.youtube.com/watch?v=4aP5F1xawMw,,,2026-04-18 23:06:41,d46604a3-4b30-4c40-97ad-823fb094aadb,,,Nuca llacta,Ñanda Mañachi,,
San Juanito,Wayra,South-American Folklore,https://www.youtube.com/watch?v=mB7xIVmQFXM,,,2026-04-18 23:06:41,a10d0e73-fd72-4393-9cc0-3b9af1ed62a6,,,San Juanito,Wayra de los Andes,,
Ecuador San Juanito,Los Incateños,"Las Mejores Clásicas Andinas para el Mundo, Vol. 90",https://www.youtube.com/watch?v=iVSzp456ee0,,,2026-04-18 23:06:41,1286fb77-0fbc-4a7d-bb3f-a8e11e71da37,,,Ecuador's San Juanito,Ecuador Manta,,
Vasija de Barro,Ecuador Manta,Sounds of the Andes,https://www.youtube.com/watch?v=6WcEg4V75KE,,,2026-04-18 23:06:41,80996a19-8d6d-4d66-92cb-fbd949d1f0b7,,,Vasija de Barro,Ecuador Manta,,
"Ballet Auca Sisa - Coreografía San Juanito ""Asi Asigu"" (KuruÑan)",Ballet Auca Sisa,,https://www.youtube.com/watch?v=Mfq8n5_CKQA,,,2026-04-18 23:06:41,8d8d189b-a32e-421c-8629-4a25d48f0cda,,,Sisa comiendo pollo,"Sisa, Melodrama",,ES
