title,artist,album,url,description,release_year,fetch_date
Tobas de Bolivia,Wiñay Marka,Corazón de América,https://www.youtube.com/watch?v=QGqcq_vAxb0,,,2026-04-18 23:09:00
Bailando Tobas,Proyección,"¡¡""Trabajo... Carajo!!",https://www.youtube.com/watch?v=hKe6ZQz386k,,,2026-04-18 23:09:00
Tobas Centralistas,Grupo Femenino Bolivia,Siempre Bolivia,https://www.youtube.com/watch?v=dlfBlQbpM1s,,,2026-04-18 23:09:00
Tobas del Sud,Sayanta,Fiesta de Mi Pueblo,https://www.youtube.com/watch?v=km1EZaudI-g,,,2026-04-18 23:09:00
Tobas Centralistas,Grupo Bolivia,20 Años (Colección de Oro),https://www.youtube.com/watch?v=0YCPdibNQOE,,,2026-04-18 23:09:00
Los Tobas,Punchay,Musica Tradicional de los Andes,https://www.youtube.com/watch?v=RjepePOWp9I,,,2026-04-18 23:09:00
El Último Amanecer,Los Kjarkas,Fiesta Boliviana,https://www.youtube.com/watch?v=yaEDnz8utUU,,,2026-04-18 23:09:00
Yo Soy de Bolivia,Bonanza,Sin Limites,https://www.youtube.com/watch?v=VTS1fv-B68k,,,2026-04-18 23:09:00
Compañera,Kala Marka,Americas,https://www.youtube.com/watch?v=8gTgL3jvZgY,,,2026-04-18 23:09:00
Americas,Kala Marka,Americas,https://www.youtube.com/watch?v=XqozkFGkIeQ,,,2026-04-18 23:09:00
Bolivianita,Kala Marka,Wawanacamapjtua Bolivia,https://www.youtube.com/watch?v=I06ihBIVtJo,,,2026-04-18 23:09:00
Chaska Chaskita,Grupo Femenino Bolivia,17 Años,https://www.youtube.com/watch?v=trzJqvrroWg,,,2026-04-18 23:09:00
Tobas Tradicional,Fernando Jiménez,Clásicos de Bolivia,https://www.youtube.com/watch?v=KioossGWaJs,,,2026-04-18 23:09:00
TOBAS chucu chucu,Paulsen Alconz,TOBAS chucu chucu,https://www.youtube.com/watch?v=OwTsRcUon64,,,2026-04-18 23:09:00
Tobas La Central,ÑAMPI BOLIVIA,LA MÚSICA ES VIDA,https://www.youtube.com/watch?v=O_aSQpbWK4M,,,2026-04-18 23:09:00
Amor de Toba,Raymi Bolivia,Inolvidable Por Siempre Manuél Soliz Flores,https://www.youtube.com/watch?v=nN1-dfBPQfk,,,2026-04-18 23:09:00
Rosa,Kala Marka,Solo por Ti,https://www.youtube.com/watch?v=qtb_XOcbPxc,,,2026-04-18 23:09:00
Ch'bambinita,Kala Marka,Solo por Ti,https://www.youtube.com/watch?v=6ts7TxuIj_Q,,,2026-04-18 23:09:00
Tobas Calero (Tobas),Aullagas,RAYITO DE LUNA,https://www.youtube.com/watch?v=uBaeAPDhjrY,,,2026-04-18 23:09:00
Awatiñas,Awatiñas,El Inka Atahuallpa,https://www.youtube.com/watch?v=TSLT0-jxlTI,,,2026-04-18 23:09:00
Rich Man,aespa,Rich Man - The 6th Mini Album,https://www.youtube.com/watch?v=WAQ5_7YFAVo,,,2026-04-18 23:09:00
UP (KARINA Solo),aespa,SYNK : PARALLEL LINE - Special Digital Single,https://www.youtube.com/watch?v=U1_0Vc-9mNw,,,2026-04-18 23:09:00
퀸카 (Queencard),i-dle,I feel,https://www.youtube.com/watch?v=v_gO_P8gug8,,,2026-04-18 23:09:00
Good Thing,i-dle,We are,https://www.youtube.com/watch?v=b_lHhgt08yQ,,,2026-04-18 23:09:00
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung",Soda Pop (from the Netflix film KPop Demon Hunters),https://www.youtube.com/watch?v=y7CrvsCIjyo,,,2026-04-18 23:09:00
99次我爱他,Sasablue,99次我爱他,https://www.youtube.com/watch?v=UfpUEojDd8o,,,2026-04-18 23:09:00
難得有情人,關淑怡,難得有情人,https://www.youtube.com/watch?v=HJzleT5nl2Y,,,2026-04-18 23:09:00
Nxde,i-dle,I Love,https://www.youtube.com/watch?v=RdU3F5vN3_s,,,2026-04-18 23:09:00
嚣张,en,嚣张,https://www.youtube.com/watch?v=b-eKsbzMr6Q,,,2026-04-18 23:09:00
祇想一生跟你走,Jacky Cheung,我與你,https://www.youtube.com/watch?v=4ZAt3osKOXE,,,2026-04-18 23:09:00
Antiguos Guerreros (Tobas),Yanara,Tras la Huella del Sol Naciente (Edición Especial),https://www.youtube.com/watch?v=pyxZutHdrwU,,,2026-04-18 23:09:00
Es Asi,Kala Marka,Por La Igualdad De Razas Y Derechos,https://www.youtube.com/watch?v=Hz1-ar8VZYY,,,2026-04-18 23:09:00
Tobas Bolivia,Khanaru,Suenos Raros,https://www.youtube.com/watch?v=YeIeihGifSU,,,2026-04-18 23:09:00
betty,Taylor Swift,folklore,https://www.youtube.com/watch?v=skMIqk3y2VM,,,2026-04-18 23:09:00
