title,artist,album,url,description,release_year,fetch_date,mb_recording_id,mb_work_ids,composer,matched_title,matched_artist,match_score,artist_country
Tobas Centralistas,Grupo Bolivia,20 Años (Colección de Oro),https://www.youtube.com/watch?v=0YCPdibNQOE,,,2026-04-18 23:09:00,a4ceb969-f3d7-44f4-9c1d-e5830e8ad3b0,,,En oruro bailare,Grupo Bolivia,,BO
Bolivianita,Kala Marka,Wawanacamapjtua Bolivia,https://www.youtube.com/watch?v=I06ihBIVtJo,,,2026-04-18 23:09:00,0a4c2f25-740f-4f3c-ab00-f535e23e27da,,,Bolivianita,Kala Marka,,BO
Rosa,Kala Marka,Solo por Ti,https://www.youtube.com/watch?v=qtb_XOcbPxc,,,2026-04-18 23:09:00,eef6782c-aeec-4592-a1a8-8087430b2cf6,,,Cuando florezca el chuño,Kala Marka,,BO
Awatiñas,Awatiñas,El Inka Atahuallpa,https://www.youtube.com/watch?v=TSLT0-jxlTI,,,2026-04-18 23:09:00,44aa6b25-8f05-4147-8e74-019bf56fa2e8,,,Awatiñas,Awatiñas,,BO
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung",Soda Pop (from the Netflix film KPop Demon Hunters),https://www.youtube.com/watch?v=y7CrvsCIjyo,,,2026-04-18 23:09:00,236ec836-75e0-46eb-8211-ee0237e15ef9,bbbaefa2-dbbc-413b-8a20-35a99993dc04,,Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",,
嚣张,en,嚣张,https://www.youtube.com/watch?v=b-eKsbzMr6Q,,,2026-04-18 23:09:00,7eb9a0a5-8284-449f-bd79-49cc0b099920,,,嚣张,en,,
Es Asi,Kala Marka,Por La Igualdad De Razas Y Derechos,https://www.youtube.com/watch?v=Hz1-ar8VZYY,,,2026-04-18 23:09:00,56dfa1ad-6e33-4ad0-b891-25d580c2cd03,,,Es Para Ti,Kala Marka,,BO
Clavar La Espada (From Bleach),LucasGitanoFamily,Guitar Covers #2,https://www.youtube.com/watch?v=dJttk7Y0gl0,,,2026-04-18 23:09:00,1d6af34b-96be-4a56-a250-9682bc4e1064,,,Clavar La Espada (From Bleach),LucasGitanoFamily,,
Mother Earth,Wuauquikuna,Original Edition,https://www.youtube.com/watch?v=nwzWG4ybuRA,,,2026-04-18 23:09:00,88c7462b-aabe-41ef-a658-efe497c5759d,,,Sayry Nan,Wuauquikuna,,
El Jaguar,Kala Marka,Por La Igualdad De Razas Y Derechos,https://www.youtube.com/watch?v=hjofHGQVYi8,,,2026-04-18 23:09:00,4b845460-e4f5-4e69-998d-a717d7ed1023,,,Viva El Carnaval,Kala Marka,,BO
Ama Amazonas,Kala Marka,De Los Andes Al Amazonas,https://www.youtube.com/watch?v=OlA2m2i2nz4,,,2026-04-18 23:09:00,506e9428-9b05-4807-8380-812274cb91d3,,,Amazonas,Kala Marka,,BO
Ay Rosita,Jach'a Mallku,Soberano por Siempre,https://www.youtube.com/watch?v=1p8nO395ISk,,,2026-04-18 23:09:00,4e30ae92-b347-468f-9f38-7c3ff0f282fd,,,Danza del Inka,Jach'a Mallku,,
Es Para Ti,Kala Marka,Wawanacamapjtua Bolivia,https://www.youtube.com/watch?v=g0ldxw5MT04,,,2026-04-18 23:09:00,56dfa1ad-6e33-4ad0-b891-25d580c2cd03,,,Es Para Ti,Kala Marka,,BO
Rosita Pochi,Esther Marisol,Cantando para América y el Mundo Con Esther Marisol,https://www.youtube.com/watch?v=PnmIdEjiHdo,,,2026-04-18 23:09:00,ec8e0302-d2fa-4565-b8fb-cd82bab8a223,,,Rosita,Esther Marisol,,BO
La Saya,Tupay,America Latina,https://www.youtube.com/watch?v=UsPu3WmMUpk,,,2026-04-18 23:09:00,c3bb1769-14a2-4f62-9db5-a7f4061a5690,,,Soy Caporal (Saya),Tupay,,BO
Bailando Tobada,Kala Marka,Guardián del Amazonas,https://www.youtube.com/watch?v=aClTC02db08,,,2026-04-18 23:09:00,eef6782c-aeec-4592-a1a8-8087430b2cf6,,,Cuando florezca el chuño,Kala Marka,,BO
Tobas Del Sur,Wayna Picchu,Kusichaski,https://www.youtube.com/watch?v=3acQXIcdiBo,,,2026-04-18 23:09:00,ee70e104-cf75-463b-857d-9093173e0d7c,,,Inti Raymi,Wayna Picchu,,
Los Tobas Zona Sud,Llajtaymanta,Los Tobas Zona Sud,https://www.youtube.com/watch?v=LUGfztmAxKI,,,2026-04-18 23:09:00,ca7e7e43-6cdc-426a-95a7-ad9f80e02947,,,Los jóvenes,Llajtaymanta,,BO
Bolivia,Grupo Aldana,Souvenir de Bolivia,https://www.youtube.com/watch?v=1RyAGE3RIso,,,2026-04-18 23:09:00,4dc04e0c-066a-49f8-8245-034348c569a1,,,Tinkus Wistus,Grupo Aldana,,
Ñawpaq Warmisita,CHILA JATUN,Grandes Exitos,https://www.youtube.com/watch?v=pwKa__M1QEY,,,2026-04-18 23:09:00,53e56b84-9c21-45b7-b7bf-c85c0014900a,,,Ñawpaq Warmisita,Chila Jatun,,BO
Ukhamampi Munataxa,Los Kjarkas,A los 500 Años,https://www.youtube.com/watch?v=cySYpehAXmM,,,2026-04-18 23:09:00,08de0873-6ceb-42a3-b2ce-3e268bb1ecd4,,,Ukhamampi Munataxa,Los Kjarkas,,BO
Mi Samba Mi Negra,Los Kjarkas,El Árbol de Mi Destino,https://www.youtube.com/watch?v=sFPpyAbuUVw,,,2026-04-18 23:09:00,b9235c3a-d08e-4098-ba38-35483ca773de,,,Mi samba mi negra,Los Kjarkas,,BO
