Persistent Homology Analysis Results
Song: el_ultimo_amanecer_100-7500hz_mid_1990hz
Genre: tobas
==================================================

Intervallic Transition Matrix (ITM):
  Non-zero entries: 87 / 144
  ITM entropy (Shannon): 3.461850

H0:
  n_bars: 99
  n_finite: 98
  n_infinite: 1
  persistent_mean: 3219.863502
  persistent_std: 4277.149179
  persistent_entropy: 3.795156

H1:
  n_bars: 25
  n_finite: 25
  n_infinite: 0
  persistent_mean: 572.898634
  persistent_std: 1255.349593
  persistent_entropy: 1.921929


Raw Persistence Diagrams:
--------------------------------------------------
H0 (99 bars):
  [0.000000, 8.251884)
  [0.000000, 18.327551)
  [0.000000, 19.544716)
  [0.000000, 28.009766)
  [0.000000, 32.839035)
  [0.000000, 32.839035)
  [0.000000, 35.542439)
  [0.000000, 40.783226)
  [0.000000, 40.783226)
  [0.000000, 42.810886)
  [0.000000, 45.693954)
  [0.000000, 46.414890)
  [0.000000, 60.178745)
  [0.000000, 60.178745)
  [0.000000, 67.146034)
  [0.000000, 67.146034)
  [0.000000, 69.385345)
  [0.000000, 78.826691)
  [0.000000, 86.825539)
  [0.000000, 90.897682)
  [0.000000, 90.897682)
  [0.000000, 94.116791)
  [0.000000, 94.936874)
  [0.000000, 96.478424)
  [0.000000, 105.363503)
  [0.000000, 105.363503)
  [0.000000, 106.710426)
  [0.000000, 106.710426)
  [0.000000, 107.556450)
  [0.000000, 108.119637)
  [0.000000, 122.594910)
  [0.000000, 127.046524)
  [0.000000, 128.134537)
  [0.000000, 145.029831)
  [0.000000, 149.329514)
  [0.000000, 188.451447)
  [0.000000, 197.437149)
  [0.000000, 202.382782)
  [0.000000, 241.785828)
  [0.000000, 361.487915)
  [0.000000, 417.986145)
  [0.000000, 463.885132)
  [0.000000, 484.576324)
  [0.000000, 509.600891)
  [0.000000, 519.176147)
  [0.000000, 624.210999)
  [0.000000, 782.197021)
  [0.000000, 803.825195)
  [0.000000, 1031.951294)
  [0.000000, 1040.492554)
  [0.000000, 1201.163086)
  [0.000000, 1201.163086)
  [0.000000, 1435.395752)
  [0.000000, 1532.535522)
  [0.000000, 1534.480225)
  [0.000000, 1795.041748)
  [0.000000, 1995.567871)
  [0.000000, 2005.025024)
  [0.000000, 2009.114502)
  [0.000000, 2012.183228)
  [0.000000, 2106.906250)
  [0.000000, 2140.216064)
  [0.000000, 2163.389404)
  [0.000000, 2163.389404)
  [0.000000, 2439.716797)
  [0.000000, 2903.286133)
  [0.000000, 4002.794189)
  [0.000000, 4033.080566)
  [0.000000, 4512.422852)
  [0.000000, 4702.773438)
  [0.000000, 4732.785645)
  [0.000000, 4991.793457)
  [0.000000, 5249.485352)
  [0.000000, 5451.157715)
  [0.000000, 5559.825195)
  [0.000000, 5619.208496)
  [0.000000, 6249.416016)
  [0.000000, 6290.049316)
  [0.000000, 6290.049316)
  [0.000000, 7082.061523)
  [0.000000, 7487.690430)
  [0.000000, 8128.065430)
  [0.000000, 8339.738281)
  [0.000000, 8339.738281)
  [0.000000, 8588.144531)
  [0.000000, 8588.144531)
  [0.000000, 9153.831055)
  [0.000000, 10267.789062)
  [0.000000, 10902.315430)
  [0.000000, 11119.650391)
  [0.000000, 11825.660156)
  [0.000000, 12032.458008)
  [0.000000, 12556.459961)
  [0.000000, 13383.532227)
  [0.000000, 13587.213867)
  [0.000000, 14482.179688)
  [0.000000, 15414.136719)
  [0.000000, 15414.136719)
  [0.000000, inf)

H1 (25 bars):
  [13587.213867, 17176.289062)
  [12556.459961, 12676.817383)
  [11825.660156, 12580.098633)
  [10902.315430, 12580.098633)
  [7082.061523, 12580.098633)
  [4002.794189, 4326.778809)
  [2012.183228, 2402.326172)
  [1534.480225, 2402.326172)
  [241.785828, 254.649567)
  [202.382782, 301.624695)
  [197.437149, 254.649567)
  [188.451447, 293.814941)
  [149.329514, 215.007584)
  [128.134537, 213.420853)
  [127.046524, 181.795364)
  [122.594910, 213.420853)
  [108.119637, 210.727005)
  [94.936874, 181.795364)
  [94.116791, 181.795364)
  [78.826691, 134.292068)
  [69.385345, 120.357491)
  [46.414890, 81.566452)
  [45.693954, 85.621773)
  [42.810886, 83.594109)
  [35.542439, 65.678070)

