Persistent Homology Analysis Results
Song: los_tobas_zona_sud_100-7500hz
Genre: tobas
==================================================

Intervallic Transition Matrix (ITM):
  Non-zero entries: 117 / 144
  ITM entropy (Shannon): 3.893105

H0:
  n_bars: 129
  n_finite: 128
  n_infinite: 1
  persistent_mean: 1241.302646
  persistent_std: 1761.31109
  persistent_entropy: 4.147949

H1:
  n_bars: 49
  n_finite: 49
  n_infinite: 0
  persistent_mean: 149.941346
  persistent_std: 122.657002
  persistent_entropy: 3.599279


Raw Persistence Diagrams:
--------------------------------------------------
H0 (129 bars):
  [0.000000, 8.158496)
  [0.000000, 16.419170)
  [0.000000, 20.051542)
  [0.000000, 26.759960)
  [0.000000, 34.271011)
  [0.000000, 44.056278)
  [0.000000, 44.056278)
  [0.000000, 52.140335)
  [0.000000, 56.567184)
  [0.000000, 65.931526)
  [0.000000, 65.931526)
  [0.000000, 66.033791)
  [0.000000, 74.122070)
  [0.000000, 76.288246)
  [0.000000, 76.288246)
  [0.000000, 81.449631)
  [0.000000, 94.690331)
  [0.000000, 94.690331)
  [0.000000, 98.460793)
  [0.000000, 105.634483)
  [0.000000, 105.634483)
  [0.000000, 117.259827)
  [0.000000, 117.824471)
  [0.000000, 126.681335)
  [0.000000, 132.893707)
  [0.000000, 134.537628)
  [0.000000, 134.537628)
  [0.000000, 135.657028)
  [0.000000, 141.172791)
  [0.000000, 143.641098)
  [0.000000, 148.872360)
  [0.000000, 150.720322)
  [0.000000, 154.867661)
  [0.000000, 178.278427)
  [0.000000, 183.647141)
  [0.000000, 201.612946)
  [0.000000, 217.378494)
  [0.000000, 236.855942)
  [0.000000, 236.855942)
  [0.000000, 258.691467)
  [0.000000, 275.415710)
  [0.000000, 285.381683)
  [0.000000, 307.340027)
  [0.000000, 325.935944)
  [0.000000, 326.482422)
  [0.000000, 370.371246)
  [0.000000, 375.458313)
  [0.000000, 390.757599)
  [0.000000, 414.268646)
  [0.000000, 418.878754)
  [0.000000, 420.738739)
  [0.000000, 428.360657)
  [0.000000, 463.419556)
  [0.000000, 471.945770)
  [0.000000, 471.945770)
  [0.000000, 512.017212)
  [0.000000, 512.017212)
  [0.000000, 533.899109)
  [0.000000, 566.023682)
  [0.000000, 585.123230)
  [0.000000, 598.171204)
  [0.000000, 598.171204)
  [0.000000, 604.596497)
  [0.000000, 658.851685)
  [0.000000, 658.851685)
  [0.000000, 661.840454)
  [0.000000, 668.726196)
  [0.000000, 670.974609)
  [0.000000, 671.936218)
  [0.000000, 692.514404)
  [0.000000, 727.416687)
  [0.000000, 761.070251)
  [0.000000, 780.088684)
  [0.000000, 790.383362)
  [0.000000, 796.856445)
  [0.000000, 810.162109)
  [0.000000, 811.532593)
  [0.000000, 819.617432)
  [0.000000, 837.667908)
  [0.000000, 840.398743)
  [0.000000, 858.490479)
  [0.000000, 881.606812)
  [0.000000, 924.054810)
  [0.000000, 961.123901)
  [0.000000, 962.515930)
  [0.000000, 967.717041)
  [0.000000, 993.457275)
  [0.000000, 1019.770935)
  [0.000000, 1025.669189)
  [0.000000, 1030.557495)
  [0.000000, 1100.618774)
  [0.000000, 1144.509277)
  [0.000000, 1221.297485)
  [0.000000, 1263.551880)
  [0.000000, 1418.100830)
  [0.000000, 1426.703247)
  [0.000000, 1477.421021)
  [0.000000, 1592.320312)
  [0.000000, 1641.779785)
  [0.000000, 1643.791504)
  [0.000000, 1658.411865)
  [0.000000, 1807.912231)
  [0.000000, 1924.175293)
  [0.000000, 1964.299316)
  [0.000000, 2072.540283)
  [0.000000, 2214.765137)
  [0.000000, 2266.955566)
  [0.000000, 2276.179932)
  [0.000000, 2546.693604)
  [0.000000, 2561.960205)
  [0.000000, 2561.960205)
  [0.000000, 2583.477783)
  [0.000000, 2611.559082)
  [0.000000, 2631.672852)
  [0.000000, 2696.223145)
  [0.000000, 2991.510498)
  [0.000000, 3048.412598)
  [0.000000, 3168.551758)
  [0.000000, 3454.266846)
  [0.000000, 3687.892578)
  [0.000000, 5720.558105)
  [0.000000, 5983.020996)
  [0.000000, 6404.900879)
  [0.000000, 7456.451660)
  [0.000000, 7456.451660)
  [0.000000, 8068.548340)
  [0.000000, 8068.548340)
  [0.000000, 8068.548340)
  [0.000000, inf)

H1 (49 bars):
  [1263.551880, 1264.723511)
  [1221.297485, 1301.527710)
  [1100.618774, 1317.703369)
  [1025.669189, 1152.350586)
  [1019.770935, 1068.090698)
  [993.457275, 1204.726196)
  [967.717041, 1196.342407)
  [962.515930, 1089.197266)
  [961.123901, 1270.859253)
  [924.054810, 1317.703369)
  [858.490479, 1024.034424)
  [837.667908, 1317.703369)
  [811.532593, 1196.342407)
  [810.162109, 858.937622)
  [796.856445, 1024.034424)
  [761.070251, 943.891541)
  [692.514404, 771.130798)
  [670.974609, 1196.342407)
  [668.726196, 943.891541)
  [661.840454, 793.006042)
  [604.596497, 943.891541)
  [566.023682, 692.705017)
  [533.899109, 943.891541)
  [420.738739, 442.743317)
  [414.268646, 628.579529)
  [370.371246, 473.711884)
  [325.935944, 341.957153)
  [307.340027, 383.628265)
  [285.381683, 403.225891)
  [275.415710, 341.347229)
  [258.691467, 345.363495)
  [217.378494, 293.666748)
  [201.612946, 336.150574)
  [183.647141, 227.703415)
  [178.278427, 266.390991)
  [154.867661, 253.362671)
  [150.720322, 282.345581)
  [148.872360, 211.268967)
  [143.641098, 269.075256)
  [141.172791, 273.035828)
  [135.657028, 196.632767)
  [132.893707, 238.528183)
  [126.681335, 232.315826)
  [117.259827, 189.380661)
  [98.460793, 148.244141)
  [81.449631, 152.576492)
  [74.122070, 140.053604)
  [66.033791, 131.863052)
  [52.140335, 88.112556)

