Persistent Homology Analysis Results
Song: que_pena_100-7500hz_midi_1990hz
Genre: tobas
==================================================

Intervallic Transition Matrix (ITM):
  Non-zero entries: 94 / 144
  ITM entropy (Shannon): 3.626388

H0:
  n_bars: 106
  n_finite: 105
  n_infinite: 1
  persistent_mean: 2259.375158
  persistent_std: 2968.287338
  persistent_entropy: 3.90726

H1:
  n_bars: 32
  n_finite: 32
  n_infinite: 0
  persistent_mean: 159.760786
  persistent_std: 220.76042
  persistent_entropy: 2.856165


Raw Persistence Diagrams:
--------------------------------------------------
H0 (106 bars):
  [0.000000, 12.419772)
  [0.000000, 16.275721)
  [0.000000, 17.954773)
  [0.000000, 22.783281)
  [0.000000, 34.041111)
  [0.000000, 38.226410)
  [0.000000, 38.226410)
  [0.000000, 38.717464)
  [0.000000, 42.642742)
  [0.000000, 43.368153)
  [0.000000, 43.368153)
  [0.000000, 44.180424)
  [0.000000, 51.386692)
  [0.000000, 54.245953)
  [0.000000, 54.245953)
  [0.000000, 60.870739)
  [0.000000, 60.870739)
  [0.000000, 69.117767)
  [0.000000, 70.944305)
  [0.000000, 71.427170)
  [0.000000, 85.026695)
  [0.000000, 104.296097)
  [0.000000, 118.256409)
  [0.000000, 118.256409)
  [0.000000, 119.922447)
  [0.000000, 127.456139)
  [0.000000, 133.742584)
  [0.000000, 133.742584)
  [0.000000, 134.734955)
  [0.000000, 142.100525)
  [0.000000, 152.469452)
  [0.000000, 176.827545)
  [0.000000, 179.163315)
  [0.000000, 184.701279)
  [0.000000, 192.668839)
  [0.000000, 204.123230)
  [0.000000, 206.041153)
  [0.000000, 207.346573)
  [0.000000, 221.499435)
  [0.000000, 252.573318)
  [0.000000, 254.011368)
  [0.000000, 288.134918)
  [0.000000, 321.437378)
  [0.000000, 336.263977)
  [0.000000, 338.730286)
  [0.000000, 449.163788)
  [0.000000, 469.198273)
  [0.000000, 594.363159)
  [0.000000, 594.363159)
  [0.000000, 836.847473)
  [0.000000, 872.658386)
  [0.000000, 973.758606)
  [0.000000, 973.758606)
  [0.000000, 1018.344910)
  [0.000000, 1061.215698)
  [0.000000, 1080.358643)
  [0.000000, 1160.581421)
  [0.000000, 1175.347046)
  [0.000000, 1217.129517)
  [0.000000, 1217.129517)
  [0.000000, 1286.111084)
  [0.000000, 1308.253784)
  [0.000000, 1397.805176)
  [0.000000, 1575.815796)
  [0.000000, 1575.815796)
  [0.000000, 1830.004761)
  [0.000000, 2199.925293)
  [0.000000, 2450.432617)
  [0.000000, 2453.536621)
  [0.000000, 2545.716553)
  [0.000000, 2552.151367)
  [0.000000, 2552.151367)
  [0.000000, 2574.815674)
  [0.000000, 2605.684326)
  [0.000000, 2901.903076)
  [0.000000, 2927.503418)
  [0.000000, 3207.641846)
  [0.000000, 3411.491943)
  [0.000000, 3450.980225)
  [0.000000, 3806.356934)
  [0.000000, 3828.930664)
  [0.000000, 4038.568604)
  [0.000000, 4157.998535)
  [0.000000, 4219.808105)
  [0.000000, 4307.916504)
  [0.000000, 4368.393066)
  [0.000000, 4446.714355)
  [0.000000, 4796.063965)
  [0.000000, 4966.389648)
  [0.000000, 5101.376465)
  [0.000000, 5298.751465)
  [0.000000, 5480.292480)
  [0.000000, 6437.912598)
  [0.000000, 6810.254395)
  [0.000000, 6835.761230)
  [0.000000, 7172.951172)
  [0.000000, 7494.883301)
  [0.000000, 7670.342773)
  [0.000000, 8014.725586)
  [0.000000, 8672.650391)
  [0.000000, 9041.699219)
  [0.000000, 9656.869141)
  [0.000000, 11242.325195)
  [0.000000, 11625.147461)
  [0.000000, 13620.508789)
  [0.000000, inf)

H1 (32 bars):
  [7172.951172, 7647.053711)
  [5101.376465, 5158.548828)
  [4796.063965, 5104.302734)
  [2927.503418, 3151.631592)
  [2901.903076, 3151.631592)
  [2545.716553, 2556.000732)
  [2450.432617, 2577.888672)
  [1397.805176, 2434.259033)
  [1160.581421, 1947.517212)
  [872.658386, 1188.726318)
  [336.263977, 353.655090)
  [321.437378, 363.404175)
  [254.011368, 356.784760)
  [221.499435, 307.457123)
  [206.041153, 324.297577)
  [204.123230, 306.896606)
  [192.668839, 254.912277)
  [184.701279, 287.474670)
  [176.827545, 295.083954)
  [152.469452, 267.485168)
  [142.100525, 185.468674)
  [134.734955, 236.512817)
  [127.456139, 245.712555)
  [119.922447, 185.256760)
  [104.296097, 141.888611)
  [85.026695, 108.491905)
  [71.427170, 121.741478)
  [70.944305, 131.815048)
  [69.117767, 102.773384)
  [51.386692, 94.754845)
  [44.180424, 86.736305)
  [42.642742, 76.452820)

