Persistent Homology Analysis Results
Song: tobas_central_100-7500hz_midi_1990hz
Genre: tobas
==================================================

Intervallic Transition Matrix (ITM):
  Non-zero entries: 112 / 144
  ITM entropy (Shannon): 3.681176

H0:
  n_bars: 124
  n_finite: 123
  n_infinite: 1
  persistent_mean: 17946.431386
  persistent_std: 129422.585476
  persistent_entropy: 1.510714

H1:
  n_bars: 29
  n_finite: 29
  n_infinite: 0
  persistent_mean: 165.482296
  persistent_std: 224.757375
  persistent_entropy: 2.743159


Raw Persistence Diagrams:
--------------------------------------------------
H0 (124 bars):
  [0.000000, 11.215037)
  [0.000000, 13.733267)
  [0.000000, 22.681623)
  [0.000000, 22.681623)
  [0.000000, 24.509018)
  [0.000000, 28.545874)
  [0.000000, 29.139313)
  [0.000000, 33.549751)
  [0.000000, 34.481159)
  [0.000000, 66.426292)
  [0.000000, 66.426292)
  [0.000000, 70.395996)
  [0.000000, 70.395996)
  [0.000000, 73.528954)
  [0.000000, 75.364594)
  [0.000000, 75.364594)
  [0.000000, 76.747955)
  [0.000000, 82.761620)
  [0.000000, 82.761620)
  [0.000000, 85.319771)
  [0.000000, 87.674812)
  [0.000000, 87.674812)
  [0.000000, 90.700027)
  [0.000000, 108.354218)
  [0.000000, 108.457985)
  [0.000000, 117.092934)
  [0.000000, 133.359589)
  [0.000000, 149.921265)
  [0.000000, 155.791168)
  [0.000000, 156.323212)
  [0.000000, 171.467529)
  [0.000000, 178.736176)
  [0.000000, 183.632141)
  [0.000000, 190.955246)
  [0.000000, 208.231171)
  [0.000000, 216.704102)
  [0.000000, 242.531677)
  [0.000000, 250.070068)
  [0.000000, 269.266785)
  [0.000000, 269.266785)
  [0.000000, 280.616302)
  [0.000000, 291.030334)
  [0.000000, 372.269379)
  [0.000000, 388.831451)
  [0.000000, 397.580872)
  [0.000000, 400.127686)
  [0.000000, 410.730286)
  [0.000000, 424.622131)
  [0.000000, 424.622131)
  [0.000000, 451.141937)
  [0.000000, 466.385284)
  [0.000000, 497.038116)
  [0.000000, 497.038116)
  [0.000000, 562.855469)
  [0.000000, 655.009949)
  [0.000000, 681.683655)
  [0.000000, 742.123413)
  [0.000000, 742.123413)
  [0.000000, 789.798279)
  [0.000000, 793.963013)
  [0.000000, 799.715881)
  [0.000000, 919.483704)
  [0.000000, 953.937927)
  [0.000000, 961.481934)
  [0.000000, 961.481934)
  [0.000000, 1009.068481)
  [0.000000, 1010.296204)
  [0.000000, 1068.944092)
  [0.000000, 1135.751953)
  [0.000000, 1136.962891)
  [0.000000, 1144.451294)
  [0.000000, 1200.621948)
  [0.000000, 1227.323853)
  [0.000000, 1284.152466)
  [0.000000, 1417.038330)
  [0.000000, 1450.826172)
  [0.000000, 1458.416504)
  [0.000000, 1462.701904)
  [0.000000, 1517.908081)
  [0.000000, 1673.123169)
  [0.000000, 1678.000488)
  [0.000000, 1934.401367)
  [0.000000, 2009.377563)
  [0.000000, 2191.785645)
  [0.000000, 2238.167969)
  [0.000000, 2584.633789)
  [0.000000, 2732.060303)
  [0.000000, 2770.461426)
  [0.000000, 2968.504883)
  [0.000000, 3029.994385)
  [0.000000, 3172.250977)
  [0.000000, 3258.489990)
  [0.000000, 3266.398926)
  [0.000000, 3291.134766)
  [0.000000, 3410.968262)
  [0.000000, 3425.759277)
  [0.000000, 3522.922363)
  [0.000000, 3591.061279)
  [0.000000, 3700.568359)
  [0.000000, 3701.200195)
  [0.000000, 3723.517822)
  [0.000000, 3733.920410)
  [0.000000, 3759.095947)
  [0.000000, 3852.457520)
  [0.000000, 3962.527588)
  [0.000000, 4155.691895)
  [0.000000, 4470.951660)
  [0.000000, 4823.499512)
  [0.000000, 4837.969727)
  [0.000000, 5171.048340)
  [0.000000, 5345.569824)
  [0.000000, 6034.782227)
  [0.000000, 6982.562012)
  [0.000000, 7027.321777)
  [0.000000, 7027.321777)
  [0.000000, 7244.919922)
  [0.000000, 7704.915039)
  [0.000000, 8719.933594)
  [0.000000, 9334.800781)
  [0.000000, 10042.958008)
  [0.000000, 10786.880859)
  [0.000000, 730841.500000)
  [0.000000, 1250863.250000)
  [0.000000, inf)

H1 (29 bars):
  [1417.038330, 1640.570068)
  [1200.621948, 1922.963867)
  [1068.944092, 1922.963867)
  [919.483704, 1484.246826)
  [793.963013, 1484.246826)
  [655.009949, 849.244263)
  [562.855469, 599.723389)
  [410.730286, 538.533569)
  [397.580872, 466.870789)
  [291.030334, 330.883850)
  [250.070068, 291.521179)
  [242.531677, 308.202209)
  [216.704102, 299.465729)
  [208.231171, 274.657471)
  [190.955246, 257.381531)
  [183.632141, 316.484741)
  [178.736176, 311.588745)
  [171.467529, 246.832123)
  [156.323212, 243.998032)
  [155.791168, 231.155762)
  [149.921265, 195.284515)
  [133.359589, 163.473618)
  [117.092934, 162.456177)
  [108.457985, 165.523239)
  [108.354218, 175.349625)
  [90.700027, 140.791992)
  [76.747955, 150.729187)
  [73.528954, 132.852585)
  [24.509018, 45.363247)

